"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2019","487.25","487.75","488.73","486.75","3.16K","-0.10%"
"02/14/2019","487.75","488.75","489.60","486.75","3.13K","-0.20%"
"02/13/2019","488.75","489.75","490.35","486.75","2.82K","-0.05%"
"02/12/2019","489.00","489.50","489.70","489.00","3.02K","-0.25%"
"02/11/2019","490.25","489.93","490.85","489.25","2.49K","0.51%"
"02/08/2019","487.75","487.75","489.45","486.25","2.37K","0.00%"
"02/07/2019","487.75","486.75","488.25","486.75","2.47K","0.10%"
"02/06/2019","487.25","486.25","488.01","486.25","3.47K","0.10%"
"02/05/2019","486.75","486.75","487.90","486.25","2.39K","0.00%"
"02/04/2019","486.75","487.30","487.75","486.25","2.30K","0.05%"
"02/01/2019","486.50","486.50","488.10","486.50","2.53K","0.00%"
"01/31/2019","486.50","486.00","488.40","484.50","3.46K","0.05%"
"01/30/2019","486.25","486.25","487.85","484.75","3.41K","0.00%"
"01/29/2019","486.25","485.75","487.29","485.75","3.44K","0.05%"
"01/28/2019","486.00","486.00","486.75","485.00","2.21K","0.00%"
"01/25/2019","486.00","486.00","487.40","485.00","2.42K","0.00%"
"01/24/2019","486.00","485.50","486.78","485.00","2.98K","0.05%"
"01/23/2019","485.75","485.25","486.43","484.25","3.21K","0.05%"
"01/22/2019","485.50","485.50","486.67","484.50","3.18K","0.00%"
"01/21/2019","485.50","486.90","486.90","485.50","1.93K","-0.15%"
"01/18/2019","486.25","485.75","486.55","484.75","4.35K","0.00%"
"01/17/2019","486.25","486.25","487.30","484.75","4.08K","0.00%"
"01/16/2019","486.25","485.75","487.55","484.75","0.14K","0.05%"
"01/15/2019","486.00","486.00","488.20","486.00","","0.00%"
"01/14/2019","486.00","486.00","487.60","486.00","0.04K","0.00%"
"01/11/2019","486.00","486.00","487.10","486.00","3.49K","0.00%"
"01/10/2019","486.00","484.50","487.00","484.50","","0.15%"
"01/09/2019","485.25","485.75","486.95","484.75","","0.15%"
"01/08/2019","484.50","484.00","485.30","482.50","0.39K","-0.15%"
"01/07/2019","485.25","485.25","485.75","484.75","0.17K","0.00%"
"01/04/2019","485.25","485.25","485.75","484.75","3.14K","0.00%"
"01/03/2019","485.25","485.25","485.75","483.75","0.05K","0.00%"
"01/02/2019","485.25","485.25","485.75","484.75","0.17K","0.00%"
"01/01/2019","485.25","485.25","485.45","485.25","0.27K","0.00%"
"12/31/2018","485.25","484.75","485.75","484.75","","0.05%"
"12/28/2018","485.00","485.00","486.20","485.00","","0.00%"
"12/27/2018","485.00","485.00","486.20","485.00","","0.00%"
"12/26/2018","485.00","485.00","486.10","485.00","","0.00%"
"12/25/2018","485.00","485.00","485.90","485.00","","0.00%"
