"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2011","514.805","507.570","516.225","504.150","","0.86%"
"09/13/2011","510.395","507.050","512.515","502.930","","0.06%"
"09/12/2011","510.095","503.340","510.725","500.810","","0.17%"
"09/09/2011","509.225","514.990","519.835","505.520","","-1.66%"
"09/08/2011","517.800","522.810","525.770","514.580","","-1.53%"
"09/07/2011","525.835","515.680","526.325","515.610","","1.52%"
"09/06/2011","517.945","519.400","528.185","514.830","","-0.67%"
"09/05/2011","521.440","517.730","522.810","515.570","","0.02%"
"09/02/2011","521.325","521.090","524.435","518.350","","-0.38%"
"09/01/2011","523.325","525.410","527.825","519.890","","-0.76%"
"08/31/2011","527.325","527.600","530.985","524.780","","-0.51%"
"08/30/2011","530.040","530.490","533.440","525.700","","-0.48%"
"08/29/2011","532.570","529.790","533.960","528.660","","0.09%"
"08/26/2011","532.115","525.260","532.255","523.650","","0.84%"
"08/25/2011","527.690","526.720","531.230","523.580","","-0.25%"
"08/24/2011","529.015","527.450","531.495","525.480","","-0.19%"
"08/23/2011","530.005","524.750","532.125","524.530","","0.60%"
"08/22/2011","526.865","525.370","529.785","524.310","","-0.29%"
"08/19/2011","528.390","522.180","530.470","520.910","","0.73%"
"08/18/2011","524.565","526.440","529.085","520.110","","-0.94%"
"08/17/2011","529.550","527.080","532.470","524.220","","-0.05%"
"08/16/2011","529.835","528.690","532.215","525.280","","-0.27%"
"08/15/2011","531.290","521.880","532.420","521.880","","1.39%"
"08/12/2011","524.025","521.150","525.595","517.820","","0.03%"
"08/11/2011","523.845","518.290","525.745","516.100","","0.47%"
"08/10/2011","521.375","538.300","541.135","518.260","","-3.12%"
"08/09/2011","538.150","530.000","538.150","529.210","","1.41%"
"08/08/2011","530.650","537.960","539.030","528.420","","-0.69%"
"08/05/2011","534.335","527.230","535.125","525.620","","1.34%"
"08/04/2011","527.280","535.940","537.790","526.890","","-1.64%"
"08/03/2011","536.055","530.440","536.845","528.910","","0.84%"
"08/02/2011","531.565","533.360","534.625","529.170","","-0.39%"
"08/01/2011","533.660","536.880","540.950","530.480","","-0.95%"
"07/29/2011","538.770","535.830","539.450","532.130","","0.43%"
"07/28/2011","536.450","537.480","538.960","532.990","","-0.24%"
"07/27/2011","537.760","542.820","544.080","536.240","","-0.97%"
"07/26/2011","543.035","537.660","543.745","536.880","","0.92%"
"07/25/2011","538.060","538.410","539.210","535.680","","0.14%"
"07/22/2011","537.325","539.350","540.355","535.640","","-0.56%"
