FX,possition,date,name,value
EUR,buy,2024-04-06T17:00:00Z,min_value,420
EUR,buy,2024-04-06T18:00:00Z,mean_value,420.94117647058823
EUR,buy,2024-04-06T18:00:00Z,max_value,421
EUR,buy,2024-04-06T18:00:00Z,min_value,420
EUR,buy,2024-04-06T19:00:00Z,mean_value,420.9259259259259
EUR,buy,2024-04-06T19:00:00Z,max_value,421
EUR,buy,2024-04-06T19:00:00Z,min_value,420
EUR,buy,2024-04-06T20:00:00Z,mean_value,420.9259259259259
EUR,buy,2024-04-06T20:00:00Z,max_value,421
EUR,buy,2024-04-06T20:00:00Z,min_value,420
EUR,buy,2024-04-06T21:00:00Z,mean_value,420.94444444444446
EUR,buy,2024-04-06T21:00:00Z,max_value,421
EUR,buy,2024-04-06T21:00:00Z,min_value,420
EUR,buy,2024-04-06T22:00:00Z,mean_value,420.9166666666667
EUR,buy,2024-04-06T22:00:00Z,max_value,421
EUR,buy,2024-04-06T22:00:00Z,min_value,420
EUR,buy,2024-04-06T23:00:00Z,mean_value,421
EUR,buy,2024-04-06T23:00:00Z,max_value,421
EUR,buy,2024-04-06T23:00:00Z,min_value,421
EUR,buy,2024-04-07T00:00:00Z,mean_value,421
EUR,buy,2024-04-07T00:00:00Z,max_value,421
EUR,buy,2024-04-07T00:00:00Z,min_value,421
EUR,buy,2024-04-07T07:00:00Z,mean_value,421
EUR,buy,2024-04-07T07:00:00Z,max_value,421
EUR,buy,2024-04-07T07:00:00Z,min_value,421
EUR,buy,2024-04-07T08:00:00Z,mean_value,421
EUR,buy,2024-04-07T08:00:00Z,max_value,421
EUR,buy,2024-04-07T08:00:00Z,min_value,421
EUR,buy,2024-04-07T09:00:00Z,mean_value,420.93548387096774
EUR,buy,2024-04-07T09:00:00Z,max_value,421
EUR,buy,2024-04-07T09:00:00Z,min_value,420
EUR,buy,2024-04-07T10:00:00Z,mean_value,421
EUR,buy,2024-04-07T10:00:00Z,max_value,421
EUR,buy,2024-04-07T10:00:00Z,min_value,421
EUR,buy,2024-04-07T11:00:00Z,mean_value,421
EUR,buy,2024-04-07T11:00:00Z,max_value,421
EUR,buy,2024-04-07T11:00:00Z,min_value,421
EUR,buy,2024-04-07T12:00:00Z,mean_value,421
EUR,buy,2024-04-07T12:00:00Z,max_value,421
EUR,buy,2024-04-07T12:00:00Z,min_value,421
EUR,buy,2024-04-07T13:00:00Z,mean_value,421
EUR,buy,2024-04-07T13:00:00Z,max_value,421
EUR,buy,2024-04-07T13:00:00Z,min_value,421
EUR,buy,2024-04-07T14:00:00Z,mean_value,421
EUR,buy,2024-04-07T14:00:00Z,max_value,421
EUR,buy,2024-04-07T14:00:00Z,min_value,421
EUR,buy,2024-04-07T15:00:00Z,mean_value,421
EUR,buy,2024-04-07T15:00:00Z,max_value,421
EUR,buy,2024-04-07T15:00:00Z,min_value,421
EUR,buy,2024-04-07T16:00:00Z,mean_value,421
EUR,buy,2024-04-07T16:00:00Z,max_value,421
EUR,buy,2024-04-07T16:00:00Z,min_value,421
EUR,buy,2024-04-07T17:00:00Z,mean_value,421
EUR,buy,2024-04-07T17:00:00Z,max_value,421
EUR,buy,2024-04-07T17:00:00Z,min_value,421
EUR,buy,2024-04-07T18:00:00Z,mean_value,421
EUR,buy,2024-04-07T18:00:00Z,max_value,421
EUR,buy,2024-04-07T18:00:00Z,min_value,421
EUR,buy,2024-04-07T19:00:00Z,mean_value,421
EUR,buy,2024-04-07T19:00:00Z,max_value,421
EUR,buy,2024-04-07T19:00:00Z,min_value,421
EUR,buy,2024-04-07T20:00:00Z,mean_value,421
EUR,buy,2024-04-07T20:00:00Z,max_value,421
EUR,buy,2024-04-07T20:00:00Z,min_value,421
EUR,buy,2024-04-07T21:00:00Z,mean_value,421
EUR,buy,2024-04-07T21:00:00Z,max_value,421
EUR,buy,2024-04-07T21:00:00Z,min_value,421
EUR,buy,2024-04-07T22:00:00Z,mean_value,421
EUR,buy,2024-04-07T22:00:00Z,max_value,421
EUR,buy,2024-04-07T22:00:00Z,min_value,421
EUR,buy,2024-04-07T23:00:00Z,mean_value,421
EUR,buy,2024-04-07T23:00:00Z,max_value,421
EUR,buy,2024-04-07T23:00:00Z,min_value,421
EUR,buy,2024-04-08T00:00:00Z,mean_value,421
EUR,buy,2024-04-08T00:00:00Z,max_value,421
EUR,buy,2024-04-08T00:00:00Z,min_value,421
EUR,buy,2024-04-08T01:00:00Z,mean_value,421
EUR,buy,2024-04-08T01:00:00Z,max_value,421
EUR,buy,2024-04-08T01:00:00Z,min_value,421
EUR,buy,2024-04-08T02:00:00Z,mean_value,421
EUR,buy,2024-04-08T02:00:00Z,max_value,421
EUR,buy,2024-04-08T02:00:00Z,min_value,421
EUR,buy,2024-04-08T05:00:00Z,mean_value,421
EUR,buy,2024-04-08T05:00:00Z,max_value,421
EUR,buy,2024-04-08T05:00:00Z,min_value,421
EUR,buy,2024-04-08T06:00:00Z,mean_value,421
EUR,buy,2024-04-08T06:00:00Z,max_value,421
EUR,buy,2024-04-08T06:00:00Z,min_value,421
EUR,buy,2024-04-08T07:00:00Z,mean_value,421
EUR,buy,2024-04-08T07:00:00Z,max_value,421
EUR,buy,2024-04-08T07:00:00Z,min_value,421
EUR,buy,2024-04-08T08:00:00Z,mean_value,421
EUR,buy,2024-04-08T08:00:00Z,max_value,421
EUR,buy,2024-04-08T08:00:00Z,min_value,421
EUR,buy,2024-04-08T09:00:00Z,mean_value,421
EUR,buy,2024-04-08T09:00:00Z,max_value,421
EUR,buy,2024-04-08T09:00:00Z,min_value,421
EUR,buy,2024-04-08T10:00:00Z,mean_value,421
EUR,buy,2024-04-08T10:00:00Z,max_value,421
EUR,buy,2024-04-08T10:00:00Z,min_value,421
EUR,buy,2024-04-08T11:00:00Z,mean_value,421
