"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2011","13.3235","13.2580","13.3425","13.1550","","0.44%"
"08/04/2011","13.2655","13.4270","13.4585","13.2530","","-1.26%"
"08/03/2011","13.4350","13.4280","13.4830","13.3770","","-0.16%"
"08/02/2011","13.4565","13.4630","13.5015","13.4080","","-0.15%"
"08/01/2011","13.4765","13.5310","13.6135","13.4250","","-0.48%"
"07/29/2011","13.5410","13.5450","13.5610","13.4540","","-0.14%"
"07/28/2011","13.5595","13.5740","13.6075","13.5160","","-0.22%"
"07/27/2011","13.5890","13.6060","13.6610","13.5580","","-0.17%"
"07/26/2011","13.6120","13.5590","13.6120","13.5490","","0.86%"
"07/25/2011","13.4965","13.4590","13.5175","13.4540","","0.19%"
"07/22/2011","13.4710","13.4870","13.5280","13.4370","","-0.13%"
"07/21/2011","13.4885","13.2940","13.4885","13.2870","","1.38%"
"07/20/2011","13.3055","13.2590","13.3975","13.2490","","0.38%"
"07/19/2011","13.2550","13.2570","13.3670","13.2440","","0.08%"
"07/18/2011","13.2440","13.3080","13.3190","13.2330","","-0.64%"
"07/15/2011","13.3295","13.2920","13.3345","13.2800","","0.20%"
"07/14/2011","13.3035","13.3440","13.3625","13.2920","","-0.35%"
"07/13/2011","13.3500","13.2000","13.3580","13.1910","","0.80%"
"07/12/2011","13.2440","13.2100","13.2440","13.1400","","-0.14%"
"07/11/2011","13.2620","13.3180","13.3320","13.2220","","-0.08%"
"07/08/2011","13.2725","13.3920","13.4305","13.2610","","-1.04%"
"07/07/2011","13.4125","13.3610","13.4245","13.3240","","0.37%"
"07/06/2011","13.3625","13.4030","13.4355","13.3370","","-0.25%"
"07/05/2011","13.3960","13.4560","13.4730","13.3850","","-0.48%"
"07/04/2011","13.4605","13.4240","13.4755","13.4240","","0.06%"
"07/01/2011","13.4525","13.4100","13.4555","13.3890","","0.19%"
"06/30/2011","13.4270","13.4150","13.4430","13.3790","","0.56%"
"06/29/2011","13.3525","13.3030","13.3845","13.2940","","0.30%"
"06/28/2011","13.3130","13.2510","13.3320","13.2280","","0.39%"
"06/27/2011","13.2610","13.2220","13.2610","13.0270","","-0.02%"
"06/24/2011","13.2630","13.2910","13.3290","13.2160","","0.18%"
"06/23/2011","13.2395","13.3410","13.3665","13.1960","","-0.82%"
"06/22/2011","13.3490","13.3770","13.4310","13.3370","","-0.45%"
"06/21/2011","13.4100","13.3330","13.4100","13.2650","","0.39%"
"06/20/2011","13.3585","13.3120","13.3695","13.2700","","-0.13%"
"06/17/2011","13.3760","13.3150","13.4050","13.2630","","0.46%"
"06/16/2011","13.3150","13.3420","13.3930","13.2370","","-0.30%"
"06/15/2011","13.3555","13.4640","13.4765","13.3410","","-1.06%"
"06/14/2011","13.4980","13.4730","13.4980","13.4200","","0.07%"
"06/13/2011","13.4880","13.4270","13.4880","13.3470","","0.32%"
"06/10/2011","13.4455","13.5510","13.5915","13.4250","","-0.91%"
"06/09/2011","13.5695","13.5250","13.6145","13.5230","","0.20%"
"06/08/2011","13.5430","13.5460","13.5860","13.5160","","-0.17%"
"06/07/2011","13.5665","13.4560","13.5665","13.4520","","0.72%"
"06/06/2011","13.4700","13.4990","13.5310","13.4100","","-0.34%"
"06/03/2011","13.5165","13.4560","13.5165","13.4030","","0.37%"
"06/02/2011","13.4665","13.3760","13.4765","13.3570","","0.62%"
"06/01/2011","13.3840","13.4050","13.4720","13.3680","","0.07%"
"05/31/2011","13.3750","13.3530","13.4500","13.3410","","0.09%"
"05/30/2011","13.3630","13.3630","13.4070","13.3410","","0.45%"
