"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2019-04-01",2019,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,0,FALSE
"2019-05-01",2019,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,0,FALSE
"2019-06-01",2019,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,2,FALSE
"2019-07-01",2019,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2019-08-01",2019,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2019-09-01",2019,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2019-10-01",2019,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,3,FALSE
"2019-11-01",2019,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,5,TRUE
"2019-12-01",2019,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",3,8,TRUE
"2020-01-01",2020,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",4,12,FALSE
"2020-02-01",2020,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",3,15,TRUE
"2020-03-01",2020,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",3,18,TRUE
"2020-04-01",2020,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,20,FALSE
"2020-05-01",2020,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,21,FALSE
"2020-06-01",2020,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,19,FALSE
"2020-07-01",2020,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,19,FALSE
"2020-08-01",2020,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,19,FALSE
"2020-09-01",2020,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,21,FALSE
"2020-10-01",2020,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,21,FALSE
"2020-11-01",2020,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,19,FALSE
"2020-12-01",2020,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,16,FALSE
"2021-01-01",2021,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,12,FALSE
"2021-02-01",2021,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,9,FALSE
"2021-03-01",2021,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,6,FALSE
"2021-04-01",2021,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,4,FALSE
"2021-05-01",2021,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,3,FALSE
"2021-06-01",2021,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,4,FALSE
"2021-07-01",2021,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,4,FALSE
"2021-08-01",2021,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,4,FALSE
"2021-09-01",2021,9,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,2,FALSE
"2021-10-01",2021,10,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2021-11-01",2021,11,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2021-12-01",2021,12,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2022-01-01",2022,1,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,1,FALSE
"2022-02-01",2022,2,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,3,FALSE
"2022-03-01",2022,3,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",2,5,TRUE
"2022-04-01",2022,4,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,6,TRUE
"2022-05-01",2022,5,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",1,7,FALSE
"2022-06-01",2022,6,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,6,FALSE
"2022-07-01",2022,7,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,6,FALSE
"2022-08-01",2022,8,"Բաց բաժնետիրական ընկերություն","ԲԲԸ",0,6,FALSE
