period,partner_region,X_region
2014-10-01,Other countries,365282731.0960001
2014-11-01,Other countries,360887271.40199995
2014-12-01,Other countries,358395162.469
2015-01-01,Other countries,364716626.062
2015-02-01,Other countries,364384869.277
2015-03-01,Other countries,361630556.573
2015-04-01,Other countries,365338317.289
2015-05-01,Other countries,368106005.94899994
2015-06-01,Other countries,385397582.9269999
2015-07-01,Other countries,385079954.91699994
2015-08-01,Other countries,386516726.56899995
2015-09-01,Other countries,382590266.389
2015-10-01,Other countries,380034295.401
2015-11-01,Other countries,379032588.42100006
2015-12-01,Other countries,388430618.73100007
2016-01-01,Other countries,383879773.47999996
2016-02-01,Other countries,391378456.17999995
2016-03-01,Other countries,411433048.90999997
2016-04-01,Other countries,413595375.05
2016-05-01,Other countries,423156747.5
2016-06-01,Other countries,432142395.58000004
2016-07-01,Other countries,448697575.65000004
2016-08-01,Other countries,467604334.2300001
2016-09-01,Other countries,478801101.44
2016-10-01,Other countries,482173488.64
2016-11-01,Other countries,494959336.62
2016-12-01,Other countries,495343170.03999996
2017-01-01,Other countries,502696386.7099999
2017-02-01,Other countries,505973545.8899999
2017-03-01,Other countries,507020457.6999999
2017-04-01,Other countries,521219884.05999994
2017-05-01,Other countries,509971575.59
2017-06-01,Other countries,494341961.24999994
2017-07-01,Other countries,488731758.42999995
2017-08-01,Other countries,488229372.59
2017-09-01,Other countries,484357225.30999994
2017-10-01,Other countries,502053292.74000007
2017-11-01,Other countries,504195384.84000003
2017-12-01,Other countries,520873550.62
2018-01-01,Other countries,540341639.9300001
2018-02-01,Other countries,547031858.41
2018-03-01,Other countries,547466109.94
2018-04-01,Other countries,544379291.13
2018-05-01,Other countries,553254036.9
2018-06-01,Other countries,557831809.9499999
2018-07-01,Other countries,547355716.93
2018-08-01,Other countries,542700291.9799999
2018-09-01,Other countries,547981835.0699999
2018-10-01,Other countries,537706066.54
2018-11-01,Other countries,554349829.138
2018-12-01,Other countries,551570497.2479999
2019-01-01,Other countries,544622351.1179999
2019-02-01,Other countries,557706077.5279999
2019-03-01,Other countries,565767860.568
2019-04-01,Other countries,576425683.708
2019-05-01,Other countries,590785721.868
2019-06-01,Other countries,597906058.898
