"date","code","name","cpi_month"
"2022-02-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.002584
"2022-03-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.00633
"2022-04-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.039961
"2022-05-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.010035
"2022-06-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.004394
"2022-07-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.997029
"2022-08-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.994779
"2022-09-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.000711
"2022-10-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.999268
"2022-11-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.99389
"2022-12-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.979527
"2022-01-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.99402
"2022-02-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.026988
"2022-03-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.075969
"2022-04-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.072412
"2022-05-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.107675
"2022-06-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.021913
"2022-07-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.99593
"2022-08-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.978522
"2022-09-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.99374
"2022-10-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.993072
"2022-11-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.955355
"2022-12-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.927913
"2022-01-01","07.2.2.2","Բենզին (Կ)",0.97879
"2022-02-01","07.2.2.2","Բենզին (Կ)",0.986496
"2022-03-01","07.2.2.2","Բենզին (Կ)",1.033352
"2022-04-01","07.2.2.2","Բենզին (Կ)",1.011283
"2022-05-01","07.2.2.2","Բենզին (Կ)",0.996072
"2022-06-01","07.2.2.2","Բենզին (Կ)",1.016036
"2022-07-01","07.2.2.2","Բենզին (Կ)",1.007706
"2022-08-01","07.2.2.2","Բենզին (Կ)",0.975235
"2022-09-01","07.2.2.2","Բենզին (Կ)",0.99831
"2022-10-01","07.2.2.2","Բենզին (Կ)",0.982384
"2022-11-01","07.2.2.2","Բենզին (Կ)",0.975399
"2022-12-01","07.2.2.2","Բենզին (Կ)",0.88731
"2022-01-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001125
"2022-02-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.004016
"2022-03-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.000784
"2022-04-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.042768
"2022-05-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.008692
