code,indicator,date,month,year,B_RUB_year_cum,B_RUB,B_RUB_12,levels,USD_RUB,B_USD,B_USD_12,B_USD_year_cum
4.2.1.,Borrowing and Securities Placement,2014-12-01,12,2014,2.6,0.3999999999999999,2.6,3,56.41633478260869,0.00709014510675562,0.06652590731940343,0.06652590731940343
4.2.1.,Borrowing and Securities Placement,2015-01-01,1,2015,0.1,0.1,2.7,3,64.26586363636363,0.0015560360406238574,0.06808194336002729,0.0015560360406238574
4.2.1.,Borrowing and Securities Placement,2015-02-01,2,2015,0.1,0,2.7,3,64.11256,0,0.06808194336002729,0.0015560360406238574
4.2.1.,Borrowing and Securities Placement,2015-03-01,3,2015,0.5,0.4,3.0000000000000004,3,60.14889545454545,0.0066501636809320995,0.07196395554661894,0.008206199721555956
4.2.1.,Borrowing and Securities Placement,2015-04-01,4,2015,1,0.5,3,3,52.81845454545454,0.009466388297478671,0.0674166409906529,0.017672588019034628
4.2.1.,Borrowing and Securities Placement,2015-05-01,5,2015,1.5,0.5,3.5,3,50.6184619047619,0.009877818906088942,0.07729445989674184,0.02755040692512357
4.2.1.,Borrowing and Securities Placement,2015-06-01,6,2015,1.9,0.3999999999999999,3.6,3,54.612804545454544,0.007324289666667414,0.07589280650365039,0.03487469659179098
4.2.1.,Borrowing and Securities Placement,2015-07-01,7,2015,2.3,0.3999999999999999,3.7,3,57.535304347826084,0.0069522531345593466,0.07420904115813148,0.04182694972635033
4.2.1.,Borrowing and Securities Placement,2015-08-01,8,2015,2.3,0,3.6,3,65.6570238095238,0,0.07144481503548383,0.04182694972635033
4.2.1.,Borrowing and Securities Placement,2015-09-01,9,2015,2.4,0.10000000000000009,3.4,3,66.79422727272727,0.0014971353675773574,0.06505610117715287,0.04332408509392769
4.2.1.,Borrowing and Securities Placement,2015-10-01,10,2015,2.6,0.20000000000000018,3,3,63.1372,0.0031677046178797946,0.053581934818563104,0.04649178971180748
4.2.1.,Borrowing and Securities Placement,2015-11-01,11,2015,3.3,0.6999999999999997,3.6999999999999997,3,65.03130952380953,0.010764045889983392,0.0643459807085465,0.05725583560179087
4.2.1.,Borrowing and Securities Placement,2015-12-01,12,2015,4.9,1.6000000000000005,4.9,3,70.20362608695652,0.022790845561427096,0.08004668116321798,0.08004668116321798
4.2.1.,Borrowing and Securities Placement,2016-01-01,1,2016,0.1,0.1,4.9,3,76.93695714285714,0.0012997654666055901,0.07979041058919971,0.0012997654666055901
4.2.1.,Borrowing and Securities Placement,2016-02-01,2,2016,0.2,0.1,5,3,77.20855714285715,0.0012951932234010332,0.08108560381260074,0.0025949586900066235
4.2.1.,Borrowing and Securities Placement,2016-03-01,3,2016,0.4,0.2,4.8,3,69.77764545454545,0.002866247473630849,0.07730168760529949,0.005461206163637472
4.2.1.,Borrowing and Securities Placement,2016-04-01,4,2016,0.9,0.5,4.8,3,66.4597380952381,0.0075233519470613965,0.07535865125488221,0.012984558110698869
4.2.1.,Borrowing and Securities Placement,2016-05-01,5,2016,115.1,114.19999999999999,118.49999999999999,3,65.89878421052632,1.7329606512187867,1.79844148356758,1.7459452093294856
4.2.1.,Borrowing and Securities Placement,2016-06-01,6,2016,116.2,1.1000000000000085,119.2,3,64.97467142857143,0.016929673914692606,1.8080468678156052,1.7628748832441783
4.2.1.,Borrowing and Securities Placement,2016-07-01,7,2016,116.2,0,118.8,3,64.40155238095238,0,1.801094614681046,1.7628748832441783
4.2.1.,Borrowing and Securities Placement,2016-08-01,8,2016,116.5,0.29999999999999716,119.1,3,64.92097391304348,0.004621002765636625,1.8057156174466826,1.7674958860098149
4.2.1.,Borrowing and Securities Placement,2016-09-01,9,2016,196.9,80.4,199.4,3,64.37561818181818,1.248920045675113,3.0531385277542182,3.0164159316849277
