date,year,FX_ISO,USD_FX
2020-02-10,2020,HKD,7.7656
2020-02-07,2020,HKD,7.766
2020-02-06,2020,HKD,7.7644
2020-02-05,2020,HKD,7.7621
2020-02-04,2020,HKD,7.7656
2020-02-03,2020,HKD,7.766
2020-01-31,2020,HKD,7.7648
2020-01-30,2020,HKD,7.7662
2020-01-29,2020,HKD,7.7726
2020-01-28,2020,HKD,7.7753
2020-01-27,2020,HKD,7.7768
2020-01-24,2020,HKD,7.7724
2020-01-23,2020,HKD,7.7718
2020-01-22,2020,HKD,7.7699
2020-01-21,2020,HKD,7.7701
2020-01-20,2020,HKD,7.7689
2020-01-17,2020,HKD,7.7678
2020-01-16,2020,HKD,7.7714
2020-01-15,2020,HKD,7.7706
2020-01-14,2020,HKD,7.7768
2020-01-13,2020,HKD,7.7705
2020-01-10,2020,HKD,7.7659
2020-01-09,2020,HKD,7.767
2020-01-08,2020,HKD,7.7754
2020-01-07,2020,HKD,7.7782
2020-01-06,2020,HKD,7.7693
2020-01-03,2020,HKD,7.7792
2020-01-02,2020,HKD,7.7883
2020-01-01,2020,HKD,7.7897
2019-12-31,2019,HKD,7.79
2019-12-30,2019,HKD,7.7871
2019-12-27,2019,HKD,7.7862
2019-12-26,2019,HKD,7.7875
2019-12-25,2019,HKD,7.7901
2019-12-24,2019,HKD,7.7877
2019-12-23,2019,HKD,7.7873
2019-12-20,2019,HKD,7.7952
2019-12-19,2019,HKD,7.7934
2019-12-18,2019,HKD,7.7872
2019-12-17,2019,HKD,7.7857
2019-12-16,2019,HKD,7.7919
2019-12-13,2019,HKD,7.7992
2019-12-12,2019,HKD,7.803
2019-12-11,2019,HKD,7.808
2019-12-10,2019,HKD,7.8267
2019-12-09,2019,HKD,7.8279
2019-12-06,2019,HKD,7.8292
2019-12-05,2019,HKD,7.8286
2019-12-04,2019,HKD,7.8286
2019-12-03,2019,HKD,7.8293
2019-12-02,2019,HKD,7.8278
2019-11-29,2019,HKD,7.828
2019-11-28,2019,HKD,7.8266
2019-11-27,2019,HKD,7.8269
2019-11-26,2019,HKD,7.8284
2019-11-25,2019,HKD,7.8254
2019-11-22,2019,HKD,7.8249
2019-11-21,2019,HKD,7.8198
2019-11-20,2019,HKD,7.8245
2019-11-19,2019,HKD,7.8269
2019-11-18,2019,HKD,7.8273
2019-11-15,2019,HKD,7.8254
2019-11-14,2019,HKD,7.8269
2019-11-13,2019,HKD,7.8276
2019-11-12,2019,HKD,7.8284
2019-11-11,2019,HKD,7.8248
2019-11-08,2019,HKD,7.8269
2019-11-07,2019,HKD,7.8261
2019-11-06,2019,HKD,7.827
2019-11-05,2019,HKD,7.8316
2019-11-04,2019,HKD,7.8365
2019-11-01,2019,HKD,7.836
2019-10-31,2019,HKD,7.8371
2019-10-30,2019,HKD,7.8399
2019-10-29,2019,HKD,7.8392
2019-10-28,2019,HKD,7.8395
2019-10-25,2019,HKD,7.8373
2019-10-24,2019,HKD,7.8375
2019-10-23,2019,HKD,7.8407
2019-10-22,2019,HKD,7.8423
2019-10-21,2019,HKD,7.8426
2019-10-18,2019,HKD,7.8425
2019-10-17,2019,HKD,7.8444
2019-10-16,2019,HKD,7.8445
2019-10-15,2019,HKD,7.8451
2019-10-14,2019,HKD,7.8451
2019-10-11,2019,HKD,7.8436
2019-10-10,2019,HKD,7.8416
2019-10-09,2019,HKD,7.8454
2019-10-08,2019,HKD,7.8445
2019-10-07,2019,HKD,7.8423
2019-10-04,2019,HKD,7.8394
2019-10-03,2019,HKD,7.8409
2019-10-02,2019,HKD,7.8435
2019-10-01,2019,HKD,7.8429
2019-09-30,2019,HKD,7.8384
2019-09-27,2019,HKD,7.8399
2019-09-26,2019,HKD,7.8379
2019-09-25,2019,HKD,7.8387
2019-09-24,2019,HKD,7.84
2019-09-23,2019,HKD,7.8383
2019-09-20,2019,HKD,7.838
2019-09-19,2019,HKD,7.8312
2019-09-18,2019,HKD,7.8308
2019-09-17,2019,HKD,7.8221
2019-09-16,2019,HKD,7.8187
2019-09-13,2019,HKD,7.8202
2019-09-12,2019,HKD,7.824
2019-09-11,2019,HKD,7.838
2019-09-10,2019,HKD,7.8394
2019-09-09,2019,HKD,7.838
2019-09-06,2019,HKD,7.8393
2019-09-05,2019,HKD,7.838
2019-09-04,2019,HKD,7.8403
2019-09-03,2019,HKD,7.8438
2019-09-02,2019,HKD,7.8419
2019-08-30,2019,HKD,7.8434
2019-08-29,2019,HKD,7.8457
2019-08-28,2019,HKD,7.8439
2019-08-27,2019,HKD,7.8473
2019-08-26,2019,HKD,7.8446
2019-08-23,2019,HKD,7.843
2019-08-22,2019,HKD,7.8402
2019-08-21,2019,HKD,7.8437
2019-08-20,2019,HKD,7.8424
2019-08-19,2019,HKD,7.8444
2019-08-16,2019,HKD,7.8445
2019-08-15,2019,HKD,7.8407
2019-08-14,2019,HKD,7.8451
2019-08-13,2019,HKD,7.8465
2019-08-12,2019,HKD,7.8466
2019-08-09,2019,HKD,7.842
2019-08-08,2019,HKD,7.8409
2019-08-07,2019,HKD,7.8407
2019-08-06,2019,HKD,7.8391
2019-08-05,2019,HKD,7.8471
2019-08-02,2019,HKD,7.829
2019-08-01,2019,HKD,7.8261
2019-07-31,2019,HKD,7.8278
2019-07-30,2019,HKD,7.8237
2019-07-29,2019,HKD,7.8221
2019-07-26,2019,HKD,7.8187
2019-07-25,2019,HKD,7.816
2019-07-24,2019,HKD,7.8143
2019-07-23,2019,HKD,7.8102
2019-07-22,2019,HKD,7.8099
2019-07-19,2019,HKD,7.8087
2019-07-18,2019,HKD,7.8159
2019-07-17,2019,HKD,7.8132
2019-07-16,2019,HKD,7.8168
2019-07-15,2019,HKD,7.8256
2019-07-12,2019,HKD,7.8243
2019-07-11,2019,HKD,7.8225
2019-07-10,2019,HKD,7.8181
2019-07-09,2019,HKD,7.8076
2019-07-08,2019,HKD,7.7988
2019-07-05,2019,HKD,7.7957
2019-07-04,2019,HKD,7.7863
2019-07-03,2019,HKD,7.7976
2019-07-02,2019,HKD,7.798
2019-07-01,2019,HKD,7.8128
2019-06-28,2019,HKD,7.8126
2019-06-27,2019,HKD,7.815
2019-06-26,2019,HKD,7.8073
2019-06-25,2019,HKD,7.8101
2019-06-24,2019,HKD,7.8099
2019-06-21,2019,HKD,7.8139
2019-06-20,2019,HKD,7.8121
2019-06-19,2019,HKD,7.8239
2019-06-18,2019,HKD,7.831
2019-06-17,2019,HKD,7.8333
2019-06-14,2019,HKD,7.8277
2019-06-13,2019,HKD,7.8279
2019-06-12,2019,HKD,7.8238
2019-06-11,2019,HKD,7.8365
2019-06-10,2019,HKD,7.8426
2019-06-07,2019,HKD,7.8416
2019-06-06,2019,HKD,7.8402
2019-06-05,2019,HKD,7.8413
2019-06-04,2019,HKD,7.8413
2019-06-03,2019,HKD,7.8363
2019-05-31,2019,HKD,7.8381
2019-05-30,2019,HKD,7.8473
2019-05-29,2019,HKD,7.8488
2019-05-28,2019,HKD,7.8486
2019-05-27,2019,HKD,7.849
2019-05-24,2019,HKD,7.8489
2019-05-23,2019,HKD,7.8489
2019-05-22,2019,HKD,7.8497
2019-05-21,2019,HKD,7.8493
2019-05-20,2019,HKD,7.8496
2019-05-17,2019,HKD,7.8497
2019-05-16,2019,HKD,7.8493
2019-05-15,2019,HKD,7.8492
2019-05-14,2019,HKD,7.849
2019-05-13,2019,HKD,7.8492
2019-05-10,2019,HKD,7.8485
2019-05-09,2019,HKD,7.8482
2019-05-08,2019,HKD,7.8491
2019-05-07,2019,HKD,7.8483
2019-05-06,2019,HKD,7.8458
2019-05-03,2019,HKD,7.845
2019-05-02,2019,HKD,7.8426
2019-05-01,2019,HKD,7.8451
2019-04-30,2019,HKD,7.8444
2019-04-29,2019,HKD,7.8432
2019-04-26,2019,HKD,7.843
2019-04-25,2019,HKD,7.8434
2019-04-24,2019,HKD,7.8423
2019-04-23,2019,HKD,7.8419
2019-04-22,2019,HKD,7.8444
2019-04-19,2019,HKD,7.8437
2019-04-18,2019,HKD,7.8458
2019-04-17,2019,HKD,7.8452
2019-04-16,2019,HKD,7.8426
2019-04-15,2019,HKD,7.8397
2019-04-12,2019,HKD,7.8427
2019-04-11,2019,HKD,7.8425
